,CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
143040,50010153,"IRVINGTON BAR AND RESTAURANT , TACO ELECTRICO",Manhattan,201,PARK AVENUE SOUTH,10003.0,2126770425,Tex-Mex,04/13/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,16.0,,,03/12/2021,Cycle Inspection / Initial Inspection,40.736637085276996,-73.988943710258,105.0,2.0,5000.0,1080799.0,1008730001.0,MN21
305773,41686207,PETE'S CAFE,Bronx,570,EAST FORDHAM ROAD,10458.0,7187337416,American,09/27/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,27.0,,,03/12/2021,Cycle Inspection / Initial Inspection,40.858771617082,-73.88583505457599,206.0,15.0,38900.0,2094654.0,2030670048.0,BX06
283373,50001189,CENT'ANNI,Brooklyn,742,FRANKLIN AVENUE,11238.0,7189425201,Italian,09/12/2019,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,22.0,B,09/12/2019,03/12/2021,Cycle Inspection / Re-inspection,40.67305247529,-73.957114963475,308.0,35.0,21700.0,3029488.0,3011750053.0,BK61
179760,50004269,PERGOLA 36,Manhattan,36,WEST   28 STREET,10001.0,2126794842,Mediterranean,08/17/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,12.0,,,03/12/2021,Cycle Inspection / Initial Inspection,40.745494465414,-73.98925982060601,105.0,3.0,5800.0,1015703.0,1008290064.0,MN13
82580,50072936,NUSRET STEAKHOUSE,Manhattan,51,WEST   52 STREET,10019.0,2123153660,Turkish,07/17/2018,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,8.0,A,07/17/2018,03/12/2021,Pre-permit (Operational) / Re-inspection,40.760641249471,-73.978308981387,105.0,4.0,10400.0,1081406.0,1012680001.0,MN17
34436,50070895,TAJ KEBAB,Brooklyn,416,DITMAS AVENUE,11218.0,7186333006,Middle Eastern,07/09/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,11.0,A,07/09/2019,03/12/2021,Cycle Inspection / Re-inspection,40.63589066551,-73.974789942211,312.0,39.0,48400.0,3127140.0,3053980006.0,BK41
119992,50060913,AL CHOLO WEST INDIAN BAKERY & HEALTH FOOD STORE,Bronx,3825,WHITE PLAINS ROAD,10467.0,7186559727,"Cakes, Cupcakes, Desserts",10/10/2018,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Y,7.0,A,10/10/2018,03/12/2021,Cycle Inspection / Re-inspection,40.884384428242996,-73.862366807403,212.0,12.0,39400.0,2057627.0,2046550054.0,BX44
367064,50055346,SOPHIE'S CUBAN CUISINE,Manhattan,1015,AVENUE OF THE AMERICAS,10018.0,2122217853,Latin American (Central and South America),01/09/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,17.0,B,01/09/2017,03/12/2021,Pre-permit (Operational) / Re-inspection,40.752136446538,-73.986086177502,105.0,4.0,10900.0,1015258.0,1008130038.0,MN17
289828,50075268,ORIGINAL PITA GRILL,Manhattan,441,3 AVENUE,10016.0,2126833008,Mediterranean,12/10/2019,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,N,,,,03/12/2021,Administrative Miscellaneous / Initial Inspection,40.743527923836005,-73.979707580762,106.0,2.0,7000.0,1076854.0,1009110065.0,MN20
390765,50058502,PRET A MANAGER,Manhattan,99,PARK AVENUE,10016.0,6464280505,American,04/18/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,4.0,A,04/18/2019,03/12/2021,Cycle Inspection / Initial Inspection,40.75073822369001,-73.97866592156801,106.0,4.0,8000.0,1019460.0,1008950001.0,MN20
